id,Decomposition,Commenting,Instance Variables and Parameters and Constants,Naming and Spacing,Logic and Redundancy
30560,Perfect,Minor issues,Perfect,Perfect,Perfect
30561,Perfect,Perfect,Major issues,Perfect,Perfect
30562,Perfect,Perfect,Perfect,Perfect,Perfect
30563,Major issues,Minor issues,Minor issues ,Minor issues,Minor issues
30564,Minor issues,Minor issues,Perfect,Perfect,Major issues
30565,Minor issues,Perfect,Perfect,Perfect,Perfect
30566,Minor issues,Perfect,Minor issues ,Perfect,Minor issues
30567,Minor issues,Perfect,Perfect,Perfect,Minor issues
30568,Perfect,Perfect,Perfect,Minor issues,Minor issues
30580,Minor issues,Minor issues,Minor issues ,Minor issues,Minor issues
30582,Perfect,Minor issues,Minor issues ,Perfect,Perfect
30583,Minor issues,Perfect,Perfect,Perfect,Perfect
30584,Perfect,Perfect,Perfect,Perfect,Perfect
30585,Perfect,Perfect,Major issues,Perfect,Perfect
30586,Minor issues,Minor issues,Minor issues ,Minor issues,Minor issues
30587,Perfect,Perfect,Minor issues ,Perfect,Perfect
30588,Perfect,Perfect,Perfect,Perfect,Minor issues
30589,Perfect,Perfect,Minor issues ,Minor issues,Minor issues
30590,Perfect,Perfect,Perfect,Perfect,Perfect
30591,Minor issues,Perfect,Major issues,Perfect,Minor issues
30593,Minor issues,Perfect,Minor issues ,Perfect,Minor issues
30594,Minor issues,Minor issues,Perfect,Perfect,Major issues
30596,Major issues,Minor issues,Minor issues ,Perfect,Major issues
30597,Perfect,Perfect,Minor issues ,Minor issues,Minor issues
30598,Perfect,Perfect,Perfect,Perfect,Minor issues
30599,Minor issues,Minor issues,Minor issues ,Perfect,Perfect
30600,Minor issues,Minor issues,Minor issues ,Perfect,Minor issues
30601,Minor issues,Perfect,Perfect,Perfect,Minor issues
30602,Perfect,Perfect,Minor issues ,Perfect,Minor issues
30603,Minor issues,Perfect,Minor issues ,Perfect,Perfect
30606,Minor issues,Perfect,Perfect,Perfect,Major issues
30607,Perfect,Perfect,Minor issues ,Perfect,Minor issues
30608,Minor issues,Perfect,Minor issues ,Minor issues,Minor issues
30610,Perfect,Major issues,Perfect,Perfect,Minor issues
30611,Minor issues,Perfect,Minor issues ,Perfect,Perfect
30612,Minor issues,Perfect,Minor issues ,Perfect,Minor issues
30613,Minor issues,Minor issues,Major issues,Perfect,Perfect
30614,Perfect,Perfect,Perfect,Minor issues,Minor issues
30615,Minor issues,Minor issues,Perfect,Minor issues,Minor issues
30616,Perfect,Perfect,Perfect,Perfect,Perfect
30617,Perfect,Perfect,Perfect,Perfect,Perfect
30618,Minor issues,Minor issues,Perfect,Perfect,Major issues
30619,Major issues,Perfect,Perfect,Perfect,Minor issues
30620,Perfect,Perfect,Perfect,Perfect,Minor issues
30621,Minor issues,Perfect,Major issues,Minor issues,Major issues
30622,Perfect,Minor issues,Perfect,Perfect,Perfect
30623,Perfect,Perfect,Major issues,Perfect,Perfect
30624,Perfect,Perfect,Perfect,Perfect,Perfect
30625,Minor issues,Major issues,Perfect,Perfect,Perfect
30626,Perfect,Perfect,Perfect,Minor issues,Minor issues
30628,Perfect,Minor issues,Minor issues ,Perfect,Perfect
30629,Minor issues,Minor issues,Minor issues ,Minor issues,Perfect
30632,Perfect,Perfect,Perfect,Perfect,Minor issues
30633,Perfect,Minor issues,Perfect,Perfect,Minor issues
30634,Minor issues,Minor issues,Perfect,Minor issues,Perfect
30635,Minor issues,Minor issues,Minor issues ,Minor issues,Minor issues
30636,Minor issues,Minor issues,Minor issues ,Minor issues,Minor issues
30637,Perfect,Perfect,Minor issues ,Perfect,Minor issues
30639,Minor issues,Minor issues,Minor issues ,Minor issues,Minor issues
30640,Minor issues,Perfect,Perfect,Minor issues,Minor issues
30641,Perfect,Perfect,Horrible,Perfect,Perfect
30642,Perfect,Minor issues,Minor issues ,Minor issues,Minor issues
30644,Perfect,Perfect,Perfect,Minor issues,Minor issues
30645,Major issues,Perfect,Major issues,Perfect,Perfect
30646,Major issues,Perfect,Minor issues ,Perfect,Perfect
30647,Perfect,Perfect,Perfect,Minor issues,Minor issues
30648,Perfect,Perfect,Perfect,Perfect,Minor issues
30649,Minor issues,Minor issues,Perfect,Perfect,Minor issues
30650,Major issues,Minor issues,Minor issues ,Perfect,Perfect
30651,Minor issues,Perfect,Minor issues ,Minor issues,Minor issues
30653,Minor issues,Major issues,Minor issues ,Perfect,Perfect
30654,Perfect,Perfect,Minor issues ,Perfect,Perfect
30655,Minor issues,Minor issues,Minor issues ,Perfect,Minor issues
30656,Minor issues,Minor issues,Perfect,Perfect,Major issues
30657,Minor issues,Minor issues,Perfect,Minor issues,Minor issues
30658,Major issues,Perfect,Perfect,Minor issues,Minor issues
30659,Minor issues,Minor issues,Perfect,Perfect,Minor issues
30660,Perfect,Perfect,Perfect,Perfect,Minor issues
30661,Minor issues,Perfect,Minor issues ,Perfect,Minor issues
30662,Perfect,Perfect,Minor issues ,Perfect,Perfect
30663,Minor issues,Minor issues,Perfect,Major issues,Minor issues
30664,Minor issues,Perfect,Perfect,Minor issues,Minor issues
30665,Perfect,Perfect,Perfect,Perfect,Perfect
30666,Minor issues,Perfect,Minor issues ,Minor issues,Major issues
30667,Minor issues,Perfect,Perfect,Minor issues,Perfect
30669,Perfect,Perfect,Minor issues ,Perfect,Perfect
30670,Perfect,Perfect,Minor issues ,Minor issues,Perfect
30671,Minor issues,Minor issues,Minor issues ,Minor issues,Minor issues
30672,Minor issues,Perfect,Perfect,Minor issues,Perfect
30673,Perfect,Perfect,Major issues,Perfect,Perfect
30674,Minor issues,Minor issues,Perfect,Perfect,Perfect
30675,Minor issues,Minor issues,Perfect,Minor issues,Minor issues
30677,Minor issues,Minor issues,Perfect,Perfect,Perfect
30678,Perfect,Perfect,Minor issues ,Perfect,Perfect
30679,Perfect,Perfect,Minor issues ,Minor issues,Major issues
30680,Minor issues,Minor issues,Minor issues ,Minor issues,Perfect
30681,Perfect,Minor issues,Minor issues ,Perfect,Minor issues
30683,Perfect,Minor issues,Perfect,Perfect,Perfect
30684,Perfect,Perfect,Minor issues ,Perfect,Perfect
30685,Minor issues,Minor issues,Minor issues ,Minor issues,Minor issues
30686,Perfect,Minor issues,Minor issues ,Perfect,Perfect
30687,Minor issues,Minor issues,Perfect,Perfect,Minor issues
30688,Minor issues,Minor issues,Minor issues ,Perfect,Perfect
30689,Minor issues,Minor issues,Perfect,Minor issues,Minor issues
30690,Minor issues,Perfect,Minor issues ,Perfect,Perfect
30691,Minor issues,Minor issues,Minor issues ,Perfect,Minor issues
30692,Minor issues,Minor issues,Minor issues ,Minor issues,Minor issues
30693,Minor issues,Perfect,Perfect,Minor issues,Minor issues
30694,Minor issues,Perfect,Perfect,Perfect,Minor issues
30696,Minor issues,Minor issues,Minor issues ,Perfect,Major issues
30697,Perfect,Perfect,Perfect,Perfect,Perfect
30698,Minor issues,Perfect,Minor issues ,Minor issues,Perfect
30699,Minor issues,Perfect,Minor issues ,Major issues,Minor issues
30700,Minor issues,Minor issues,Major issues,Minor issues,Minor issues
30701,Minor issues,Perfect,Perfect,Perfect,Minor issues
30704,Perfect,Perfect,Perfect,Perfect,Perfect
30705,Minor issues,Minor issues,Minor issues ,Minor issues,Perfect
30706,Minor issues,Minor issues,Perfect,Minor issues,Minor issues
30708,Minor issues,Perfect,Minor issues ,Minor issues,Minor issues
30709,Perfect,Minor issues,Minor issues ,Minor issues,Minor issues
30710,Major issues,Minor issues,Minor issues ,Perfect,Major issues
30711,Perfect,Perfect,Major issues,Perfect,Minor issues
30713,Minor issues,Perfect,Major issues,Perfect,Perfect
30714,Minor issues,Perfect,Minor issues ,Perfect,Perfect
30715,Perfect,Perfect,Minor issues ,Perfect,Perfect
30716,Minor issues,Minor issues,Major issues,Minor issues,Minor issues
30717,Minor issues,Major issues,Perfect,Perfect,Perfect
30718,Perfect,Perfect,Minor issues ,Perfect,Perfect
30719,Perfect,Perfect,Minor issues ,Perfect,Perfect
30720,Perfect,Perfect,Perfect,Perfect,Major issues
30721,Minor issues,Minor issues,Perfect,Minor issues,Minor issues
30722,Minor issues,Perfect,Minor issues ,Minor issues,Minor issues
30723,Perfect,Perfect,Minor issues ,Minor issues,Minor issues
30724,Perfect,Perfect,Major issues,Perfect,Perfect
30725,Minor issues,Perfect,Perfect,Perfect,Perfect
30726,Perfect,Perfect,Major issues,Perfect,Minor issues
30727,Perfect,Minor issues,Perfect,Perfect,Minor issues
30728,Minor issues,Perfect,Major issues,Perfect,Minor issues
30730,Minor issues,Perfect,Minor issues ,Minor issues,Minor issues
30731,Minor issues,Perfect,Minor issues ,Perfect,Minor issues
30732,Perfect,Perfect,Perfect,Minor issues,Perfect
30733,Perfect,Minor issues,Perfect,Perfect,Minor issues
30734,Minor issues,Perfect,Perfect,Perfect,Perfect
30735,Major issues,Perfect,Minor issues ,Minor issues,Perfect
30736,Perfect,Major issues,Perfect,Minor issues,Perfect
30737,Minor issues,Perfect,Perfect,Perfect,Minor issues
30738,Perfect,Perfect,Minor issues ,Perfect,Perfect
30739,Major issues,Minor issues,Perfect,Minor issues,Minor issues
30740,Major issues,Minor issues,Minor issues ,Minor issues,Minor issues
30741,Perfect,Perfect,Perfect,Minor issues,Minor issues
30742,Minor issues,Perfect,Minor issues ,Minor issues,Perfect
30743,Minor issues,Perfect,Perfect,Perfect,Minor issues
30744,Minor issues,Minor issues,Perfect,Perfect,Perfect
30745,Minor issues,Perfect,Minor issues ,Minor issues,Minor issues
30746,Perfect,Minor issues,Minor issues ,Perfect,Minor issues
30747,Minor issues,Minor issues,Minor issues ,Minor issues,Minor issues
30748,Minor issues,Perfect,Minor issues ,Perfect,Perfect
30749,Minor issues,Perfect,Perfect,Minor issues,Perfect
30750,Perfect,Perfect,Minor issues ,Perfect,Perfect
30751,Minor issues,Minor issues,Perfect,Minor issues,Minor issues
30752,Major issues,Perfect,Perfect,Perfect,Perfect
30753,Minor issues,Perfect,Perfect,Minor issues,Minor issues
30754,Perfect,Perfect,Major issues,Minor issues,Perfect
30755,Minor issues,Perfect,Perfect,Perfect,Minor issues
30756,Perfect,Perfect,Minor issues ,Perfect,Minor issues
30757,Perfect,Perfect,Perfect,Perfect,Perfect
30758,Minor issues,Perfect,Perfect,Minor issues,Major issues
30760,Minor issues,Perfect,Perfect,Perfect,Minor issues
30761,Perfect,Minor issues,Perfect,Perfect,Perfect
30762,Perfect,Perfect,Perfect,Perfect,Perfect
30763,Perfect,Perfect,Perfect,Perfect,Minor issues
30765,Minor issues,Perfect,Perfect,Minor issues,Minor issues
30766,Perfect,Perfect,Perfect,Perfect,Perfect
30767,Minor issues,Perfect,Minor issues ,Perfect,Minor issues
30768,Perfect,Perfect,Perfect,Perfect,Minor issues
30769,Perfect,Perfect,Major issues,Perfect,Perfect
30770,Minor issues,Perfect,Minor issues ,Minor issues,Perfect
30771,Minor issues,Perfect,Minor issues ,Perfect,Minor issues
30772,Perfect,Perfect,Minor issues ,Minor issues,Minor issues
30773,Perfect,Minor issues,Perfect,Minor issues,Minor issues
30774,Perfect,Perfect,Perfect,Perfect,Minor issues
30775,Perfect,Perfect,Perfect,Minor issues,Minor issues
30776,Minor issues,Perfect,Minor issues ,Perfect,Perfect
30777,Minor issues,Minor issues,Minor issues ,Perfect,Perfect
30778,Major issues,Minor issues,Perfect,Perfect,Perfect
30779,Perfect,Perfect,Perfect,Perfect,Perfect
30780,Minor issues,Perfect,Perfect,Perfect,Major issues
30781,Perfect,Perfect,Minor issues ,Perfect,Perfect
30782,Minor issues,Perfect,Perfect,Minor issues,Minor issues
30783,Minor issues,Minor issues,Perfect,Perfect,Minor issues
30784,Minor issues,Minor issues,Major issues,Minor issues,Minor issues
30785,Minor issues,Perfect,Perfect,Perfect,Minor issues
30786,Minor issues,Minor issues,Minor issues ,Minor issues,Minor issues
30787,Minor issues,Perfect,Perfect,Perfect,Perfect
30788,Perfect,Minor issues,Perfect,Minor issues,Perfect
30789,Minor issues,Minor issues,Minor issues ,Minor issues,Minor issues
30790,Minor issues,Minor issues,Perfect,Perfect,Perfect
30791,Major issues,Minor issues,Minor issues ,Perfect,Perfect
30792,Major issues,Minor issues,Minor issues ,Minor issues,Minor issues
30793,Perfect,Perfect,Minor issues ,Perfect,Perfect
30794,Perfect,Perfect,Minor issues ,Perfect,Perfect
30795,Major issues,Minor issues,Minor issues ,Minor issues,Minor issues
30796,Minor issues,Perfect,Perfect,Perfect,Minor issues
30797,Minor issues,Perfect,Minor issues ,Perfect,Minor issues
30799,Minor issues,Minor issues,Minor issues ,Minor issues,Major issues
30800,Minor issues,Perfect,Minor issues ,Perfect,Perfect
30801,Perfect,Minor issues,Major issues,Minor issues,Minor issues
30802,Perfect,Minor issues,Minor issues ,Perfect,Perfect
30803,Perfect,Perfect,Perfect,Perfect,Perfect
30804,Perfect,Perfect,Minor issues ,Perfect,Minor issues
30805,Perfect,Perfect,Minor issues ,Perfect,Minor issues
30806,Major issues,Major issues,Minor issues ,Perfect,Perfect
30807,Perfect,Perfect,Perfect,Minor issues,Minor issues
30808,Perfect,Perfect,Perfect,Perfect,Perfect
30810,Minor issues,Minor issues,Major issues,Minor issues,Minor issues
30811,Minor issues,Minor issues,Minor issues ,Minor issues,Minor issues
30812,Minor issues,Perfect,Perfect,Minor issues,Minor issues
30813,Perfect,Perfect,Perfect,Perfect,Minor issues
30814,Major issues,Minor issues,Major issues,Minor issues,Minor issues
30815,Minor issues,Perfect,Minor issues ,Perfect,Perfect
30816,Perfect,Perfect,Minor issues ,Minor issues,Minor issues
30817,Minor issues,Minor issues,Major issues,Minor issues,Major issues
30818,Perfect,Perfect,Perfect,Perfect,Perfect
30819,Major issues,Perfect,Minor issues ,Perfect,Minor issues
30820,Perfect,Perfect,Minor issues ,Perfect,Major issues
30821,Minor issues,Minor issues,Minor issues ,Minor issues,Perfect
30822,Minor issues,Minor issues,Minor issues ,Minor issues,Perfect
30823,Perfect,Perfect,Perfect,Major issues,Perfect
30824,Minor issues,Perfect,Perfect,Perfect,Major issues
30825,Perfect,Minor issues,Minor issues ,Minor issues,Minor issues
30826,Perfect,Minor issues,Perfect,Perfect,Perfect
30827,Perfect,Perfect,Major issues,Perfect,Minor issues
30828,Minor issues,Perfect,Minor issues ,Minor issues,Minor issues
30829,Perfect,Perfect,Minor issues ,Perfect,Minor issues
30830,Perfect,Major issues,Perfect,Perfect,Perfect
30831,Minor issues,Perfect,Perfect,Minor issues,Perfect
30832,Minor issues,Minor issues,Perfect,Minor issues,Perfect
30834,Perfect,Major issues,Minor issues ,Major issues,Perfect
30835,Perfect,Perfect,Perfect,Perfect,Perfect
30836,Perfect,Perfect,Perfect,Perfect,Minor issues
30837,Minor issues,Perfect,Major issues,Minor issues,Minor issues
30838,Minor issues,Minor issues,Minor issues ,Major issues,Major issues
30839,Minor issues,Minor issues,Minor issues ,Minor issues,Minor issues
30841,Perfect,Perfect,Minor issues ,Perfect,Minor issues
30842,Minor issues,Minor issues,Perfect,Perfect,Minor issues
30843,Perfect,Perfect,Perfect,Perfect,Minor issues
30844,Minor issues,Perfect,Minor issues ,Perfect,Perfect
30845,Perfect,Perfect,Minor issues ,Perfect,Perfect
30846,Perfect,Perfect,Major issues,Minor issues,Minor issues
30847,Minor issues,Minor issues,Perfect,Perfect,Major issues
30848,Minor issues,Perfect,Minor issues ,Minor issues,Minor issues
30849,Minor issues,Perfect,Perfect,Perfect,Perfect
30850,Perfect,Perfect,Perfect,Perfect,Minor issues
30852,Minor issues,Minor issues,Minor issues ,Minor issues,Perfect
30853,Minor issues,Perfect,Minor issues ,Perfect,Minor issues
30854,Minor issues,Perfect,Minor issues ,Minor issues,Perfect
30855,Minor issues,Perfect,Minor issues ,Perfect,Minor issues
30856,Perfect,Perfect,Perfect,Perfect,Minor issues
30857,Minor issues,Minor issues,Major issues,Perfect,Minor issues
30858,Minor issues,No commments or lots missing,Minor issues ,Perfect,Perfect
30859,Perfect,Perfect,Perfect,Perfect,Perfect
30860,Minor issues,Perfect,Minor issues ,Perfect,Minor issues
30861,Minor issues,Major issues,Minor issues ,Perfect,Minor issues
30862,Minor issues,Perfect,Perfect,Perfect,Perfect
30863,Major issues,Perfect,Perfect,Minor issues,Minor issues
30864,Perfect,Minor issues,Major issues,Minor issues,Minor issues
30865,Minor issues,Perfect,Perfect,Perfect,Minor issues
30866,Perfect,Perfect,Minor issues ,Perfect,Minor issues
30867,Minor issues,Perfect,Major issues,Perfect,Perfect
30868,Minor issues,Minor issues,Major issues,Perfect,Minor issues
30869,Perfect,Minor issues,Minor issues ,Perfect,Minor issues
30870,Minor issues,Perfect,Perfect,Perfect,Perfect
30871,Minor issues,Perfect,Perfect,Minor issues,Minor issues
30873,Minor issues,Perfect,Perfect,Minor issues,Perfect
30874,Minor issues,Perfect,Minor issues ,Minor issues,Perfect
30875,Minor issues,Minor issues,Minor issues ,Minor issues,Minor issues
30876,Minor issues,Perfect,Perfect,Perfect,Perfect
30877,Minor issues,Perfect,Minor issues ,Perfect,Perfect
30878,Perfect,Perfect,Major issues,Minor issues,Perfect
30879,Minor issues,Minor issues,Perfect,Perfect,Minor issues
30880,Minor issues,Minor issues,Perfect,Perfect,Perfect
30881,Minor issues,Perfect,Minor issues ,Perfect,Perfect
30882,Perfect,Major issues,Minor issues ,Perfect,Perfect
30883,Perfect,Minor issues,Perfect,Perfect,Perfect
30884,Minor issues,Perfect,Perfect,Minor issues,Minor issues
30885,Minor issues,Minor issues,Perfect,Perfect,Minor issues
30887,Minor issues,Perfect,Perfect,Minor issues,Minor issues
30895,Perfect,Minor issues,Minor issues ,Minor issues,Perfect
30910,Minor issues,Perfect,Perfect,Perfect,Major issues
30922,Minor issues,Minor issues,Minor issues ,Minor issues,Minor issues
30939,Perfect,Minor issues,Minor issues ,Minor issues,Minor issues
30956,Minor issues,Perfect,Perfect,Minor issues,Minor issues
30957,Minor issues,Perfect,Minor issues ,Perfect,Minor issues
30971,Minor issues,Perfect,Perfect,Minor issues,Perfect
30973,Minor issues,Minor issues,Perfect,Perfect,Minor issues
31006,Minor issues,Minor issues,Minor issues ,Minor issues,Major issues
31009,Perfect,Major issues,Perfect,Minor issues,Perfect
31011,Major issues,Perfect,Perfect,Minor issues,Perfect
31012,Minor issues,Perfect,Minor issues ,Perfect,Perfect
31014,Perfect,Major issues,Minor issues ,Perfect,Perfect
31015,Perfect,Perfect,Major issues,Perfect,Minor issues
31018,Minor issues,Minor issues,Minor issues ,Perfect,Perfect
31021,Perfect,Perfect,Minor issues ,Perfect,Perfect
31025,Minor issues,Minor issues,Perfect,Minor issues,Minor issues
31026,Major issues,Minor issues,Minor issues ,Perfect,Minor issues
31029,Minor issues,Minor issues,Perfect,Minor issues,Minor issues
31032,Minor issues,Minor issues,Minor issues ,Perfect,Perfect
31033,Minor issues,Minor issues,Perfect,Minor issues,Minor issues
31034,Minor issues,Perfect,Minor issues ,Perfect,Minor issues
31036,Minor issues,Minor issues,Minor issues ,Minor issues,Minor issues
31037,Minor issues,Perfect,Minor issues ,Minor issues,Minor issues
31038,Perfect,Minor issues,Perfect,Perfect,Minor issues
31040,Perfect,Minor issues,Minor issues ,Minor issues,Minor issues
31042,Minor issues,Perfect,Perfect,Perfect,Minor issues
31046,Perfect,Minor issues,Minor issues ,Perfect,Minor issues
31051,Major issues,Major issues,Minor issues ,Minor issues,Minor issues
31052,Minor issues,Perfect,Minor issues ,Minor issues,Minor issues
31053,Major issues,Perfect,Minor issues ,Minor issues,Perfect
31054,Perfect,Perfect,Perfect,Perfect,Minor issues
31056,Minor issues,Perfect,Minor issues ,Minor issues,Minor issues
31058,Perfect,Perfect,Major issues,Perfect,Major issues
31059,Perfect,Minor issues,Perfect,Minor issues,Perfect
31061,Perfect,Perfect,Minor issues ,Minor issues,Minor issues
31065,Minor issues,Perfect,Perfect,Perfect,Minor issues
31079,Perfect,Major issues,Perfect,Minor issues,Minor issues
31081,Major issues,Minor issues,Perfect,Major issues,Minor issues
31082,Minor issues,Perfect,Perfect,Perfect,Minor issues
31083,Minor issues,Perfect,Major issues,Minor issues,Minor issues
31086,Minor issues,No commments or lots missing,Minor issues ,Major issues,Minor issues
31087,Perfect,Perfect,Minor issues ,Minor issues,Perfect
31088,Perfect,Perfect,Minor issues ,Perfect,Minor issues
31089,,Minor issues,Minor issues ,Minor issues,Minor issues
31090,Major issues,Perfect,Major issues,Perfect,Perfect
31091,Minor issues,No commments or lots missing,Major issues,Perfect,Minor issues
31092,Minor issues,Minor issues,Minor issues ,Perfect,Minor issues
31109,Minor issues,Perfect,Minor issues ,Perfect,Minor issues
31276,Minor issues,Perfect,Perfect,Perfect,Minor issues
31392,Minor issues,Minor issues,Minor issues ,Perfect,Minor issues
31399,Perfect,Perfect,Perfect,Perfect,Minor issues
31433,Perfect,Minor issues,Minor issues ,Minor issues,Perfect
31483,Minor issues,Minor issues,Perfect,Minor issues,Minor issues
31651,Minor issues,Perfect,Minor issues ,Minor issues,Minor issues
31730,Major issues,Perfect,Perfect,Perfect,Minor issues
31771,Minor issues,Perfect,Minor issues ,Perfect,Minor issues
